votes	first	second	third
1	DAN COHEN	JACKIE CHERRYHOMES	MIKE GOULD
1	DAN COHEN	JACKIE CHERRYHOMES	MERRILL ANDERSON
1	DAN COHEN	JACKIE CHERRYHOMES	JOHN LESLIE HARTWIG
1	DAN COHEN	JACKIE CHERRYHOMES	JEFFREY ALAN WAGNER
1	DAN COHEN	JACKIE CHERRYHOMES	DOUG MANN
1	DAN COHEN	JACKIE CHERRYHOMES	DAN COHEN
1	DAN COHEN	JACKIE CHERRYHOMES	ALICIA K. BENNETT
1	DAN COHEN	JACKIE CHERRYHOMES	"ABDUL M RAHAMAN ""THE ROCK"""
1	DAN COHEN	GREGG A. IVERSON	undervote
1	DAN COHEN	GREGG A. IVERSON	STEPHANIE WOODRUFF
1	DAN COHEN	GREGG A. IVERSON	JEFFREY ALAN WAGNER
1	DAN COHEN	GREGG A. IVERSON	JACKIE CHERRYHOMES
1	DAN COHEN	GREGG A. IVERSON	DON SAMUELS
1	DAN COHEN	GREGG A. IVERSON	CAM WINTON
1	DAN COHEN	GREGG A. IVERSON	BETSY HODGES
1	DAN COHEN	EDMUND BERNARD BRUYERE	GREGG A. IVERSON
1	DAN COHEN	EDMUND BERNARD BRUYERE	CYD GORMAN
1	DAN COHEN	EDMUND BERNARD BRUYERE	CAPTAIN JACK SPARROW
1	DAN COHEN	EDMUND BERNARD BRUYERE	ALICIA K. BENNETT
1	DAN COHEN	DOUG MANN	undervote
1	DAN COHEN	DOUG MANN	UWI
1	DAN COHEN	DOUG MANN	STEPHANIE WOODRUFF
1	DAN COHEN	DOUG MANN	OLE SAVIOR
1	DAN COHEN	DOUG MANN	NEAL BAXTER
1	DAN COHEN	DOUG MANN	MARK V ANDERSON
1	DAN COHEN	DOUG MANN	MARK ANDREW
1	DAN COHEN	DOUG MANN	KURTIS W. HANNA
1	DAN COHEN	DOUG MANN	JACKIE CHERRYHOMES
1	DAN COHEN	DOUG MANN	CHRISTOPHER CLARK
1	DAN COHEN	DOUG MANN	CAPTAIN JACK SPARROW
1	DAN COHEN	DOUG MANN	BILL KAHN
1	DAN COHEN	DON SAMUELS	UWI
1	DAN COHEN	DON SAMUELS	OLE SAVIOR
1	DAN COHEN	DON SAMUELS	NEAL BAXTER
1	DAN COHEN	DON SAMUELS	MERRILL ANDERSON
1	DAN COHEN	DON SAMUELS	JEFFREY ALAN WAGNER
1	DAN COHEN	DON SAMUELS	CHRISTOPHER ROBIN ZIMMERMAN
1	DAN COHEN	DON SAMUELS	CHRISTOPHER CLARK
1	DAN COHEN	DON SAMUELS	"ABDUL M RAHAMAN ""THE ROCK"""
1	DAN COHEN	DAN COHEN	MARK V ANDERSON
1	DAN COHEN	DAN COHEN	DON SAMUELS
1	DAN COHEN	DAN COHEN	CAPTAIN JACK SPARROW
1	DAN COHEN	DAN COHEN	CAM WINTON
1	DAN COHEN	DAN COHEN	BILL KAHN
1	DAN COHEN	CYD GORMAN	MERRILL ANDERSON
1	DAN COHEN	CYD GORMAN	DON SAMUELS
1	DAN COHEN	CYD GORMAN	"BOB ""AGAIN"" CARNEY JR"
1	DAN COHEN	CHRISTOPHER ROBIN ZIMMERMAN	TROY BENJEGERDES
1	DAN COHEN	CHRISTOPHER ROBIN ZIMMERMAN	KURTIS W. HANNA
1	DAN COHEN	CHRISTOPHER ROBIN ZIMMERMAN	JOSHUA REA
1	DAN COHEN	CHRISTOPHER ROBIN ZIMMERMAN	JOHN LESLIE HARTWIG
1	DAN COHEN	CHRISTOPHER ROBIN ZIMMERMAN	JAMES EVERETT
1	DAN COHEN	CHRISTOPHER ROBIN ZIMMERMAN	DON SAMUELS
1	DAN COHEN	CHRISTOPHER ROBIN ZIMMERMAN	CAPTAIN JACK SPARROW
1	DAN COHEN	CHRISTOPHER ROBIN ZIMMERMAN	BOB FINE
1	DAN COHEN	CHRISTOPHER ROBIN ZIMMERMAN	"BOB ""AGAIN"" CARNEY JR"
1	DAN COHEN	CHRISTOPHER CLARK	EDMUND BERNARD BRUYERE
1	DAN COHEN	CHRISTOPHER CLARK	DON SAMUELS
1	DAN COHEN	CHRISTOPHER CLARK	"ABDUL M RAHAMAN ""THE ROCK"""
1	DAN COHEN	CAPTAIN JACK SPARROW	JOSHUA REA
1	DAN COHEN	CAPTAIN JACK SPARROW	JOHN LESLIE HARTWIG
1	DAN COHEN	CAPTAIN JACK SPARROW	JAMES EVERETT
1	DAN COHEN	CAPTAIN JACK SPARROW	"BOB ""AGAIN"" CARNEY JR"
1	DAN COHEN	CAM WINTON	KURTIS W. HANNA
1	DAN COHEN	CAM WINTON	JAMES EVERETT
1	DAN COHEN	CAM WINTON	GREGG A. IVERSON
1	DAN COHEN	CAM WINTON	"BOB ""AGAIN"" CARNEY JR"
1	DAN COHEN	BOB FINE	TONY LANE
1	DAN COHEN	BOB FINE	RAHN V. WORKCUFF
1	DAN COHEN	BOB FINE	NEAL BAXTER
1	DAN COHEN	BOB FINE	JAYMIE KELLY
1	DAN COHEN	BOB FINE	JAMES EVERETT
1	DAN COHEN	BOB FINE	DAN COHEN
1	DAN COHEN	BOB FINE	CYD GORMAN
1	DAN COHEN	BOB FINE	CHRISTOPHER ROBIN ZIMMERMAN
1	DAN COHEN	BOB FINE	CHRISTOPHER CLARK
1	DAN COHEN	BOB FINE	"BOB ""AGAIN"" CARNEY JR"
1	DAN COHEN	BILL KAHN	undervote
1	DAN COHEN	BILL KAHN	RAHN V. WORKCUFF
1	DAN COHEN	BILL KAHN	MARK ANDREW
1	DAN COHEN	BETSY HODGES	UWI
1	DAN COHEN	BETSY HODGES	MERRILL ANDERSON
1	DAN COHEN	BETSY HODGES	JOSHUA REA
1	DAN COHEN	BETSY HODGES	JEFFREY ALAN WAGNER
1	DAN COHEN	BETSY HODGES	JAMES EVERETT
1	DAN COHEN	BETSY HODGES	DAN COHEN
1	DAN COHEN	BETSY HODGES	CHRISTOPHER ROBIN ZIMMERMAN
1	DAN COHEN	BETSY HODGES	CHRISTOPHER CLARK
1	DAN COHEN	BETSY HODGES	ALICIA K. BENNETT
1	DAN COHEN	BETSY HODGES	"BOB ""AGAIN"" CARNEY JR"
1	DAN COHEN	ALICIA K. BENNETT	undervote
1	DAN COHEN	ALICIA K. BENNETT	MERRILL ANDERSON
1	DAN COHEN	ALICIA K. BENNETT	MARK V ANDERSON
1	DAN COHEN	ALICIA K. BENNETT	MARK ANDREW
1	DAN COHEN	ALICIA K. BENNETT	DON SAMUELS
1	DAN COHEN	ALICIA K. BENNETT	CAPTAIN JACK SPARROW
1	DAN COHEN	ALICIA K. BENNETT	BILL KAHN
1	DAN COHEN	"BOB ""AGAIN"" CARNEY JR"	undervote
1	DAN COHEN	"BOB ""AGAIN"" CARNEY JR"	TROY BENJEGERDES
1	DAN COHEN	"BOB ""AGAIN"" CARNEY JR"	MIKE GOULD
1	DAN COHEN	"BOB ""AGAIN"" CARNEY JR"	KURTIS W. HANNA
1	DAN COHEN	"BOB ""AGAIN"" CARNEY JR"	JAYMIE KELLY
1	DAN COHEN	"BOB ""AGAIN"" CARNEY JR"	CAPTAIN JACK SPARROW
1	DAN COHEN	"ABDUL M RAHAMAN ""THE ROCK"""	undervote
1	DAN COHEN	"ABDUL M RAHAMAN ""THE ROCK"""	CYD GORMAN
1	DAN COHEN	"ABDUL M RAHAMAN ""THE ROCK"""	CAPTAIN JACK SPARROW
1	CYD GORMAN	STEPHANIE WOODRUFF	MARK ANDREW
1	CYD GORMAN	NEAL BAXTER	BETSY HODGES
1	CYD GORMAN	MERRILL ANDERSON	TROY BENJEGERDES
1	CYD GORMAN	MERRILL ANDERSON	TONY LANE
1	CYD GORMAN	MERRILL ANDERSON	MARK ANDREW
1	CYD GORMAN	MARK V ANDERSON	EDMUND BERNARD BRUYERE
1	CYD GORMAN	MARK ANDREW	DON SAMUELS
1	CYD GORMAN	KURTIS W. HANNA	JOHN CHARLES WILSON
1	CYD GORMAN	JOSHUA REA	undervote
1	CYD GORMAN	JOSHUA REA	KURTIS W. HANNA
1	CYD GORMAN	JOSHUA REA	JACKIE CHERRYHOMES
1	CYD GORMAN	JAMES EVERETT	JOHN CHARLES WILSON
1	CYD GORMAN	GREGG A. IVERSON	JOSHUA REA
1	CYD GORMAN	GREGG A. IVERSON	BETSY HODGES
1	CYD GORMAN	DOUG MANN	undervote
1	CYD GORMAN	DOUG MANN	JOSHUA REA
1	CYD GORMAN	DOUG MANN	DOUG MANN
1	CYD GORMAN	DOUG MANN	CAM WINTON
1	CYD GORMAN	DON SAMUELS	OLE SAVIOR
1	CYD GORMAN	DON SAMUELS	BOB FINE
1	CYD GORMAN	DAN COHEN	BETSY HODGES
1	CYD GORMAN	DAN COHEN	"BOB ""AGAIN"" CARNEY JR"
1	CYD GORMAN	CYD GORMAN	CYD GORMAN
1	CYD GORMAN	CHRISTOPHER ROBIN ZIMMERMAN	DAN COHEN
1	CYD GORMAN	CAM WINTON	undervote
1	CYD GORMAN	CAM WINTON	BOB FINE
1	CYD GORMAN	BOB FINE	CHRISTOPHER CLARK
1	CYD GORMAN	BILL KAHN	"BOB ""AGAIN"" CARNEY JR"
1	CYD GORMAN	BETSY HODGES	undervote
1	CYD GORMAN	BETSY HODGES	STEPHANIE WOODRUFF
1	CYD GORMAN	BETSY HODGES	CAPTAIN JACK SPARROW
1	CYD GORMAN	BETSY HODGES	ALICIA K. BENNETT
1	CYD GORMAN	"BOB ""AGAIN"" CARNEY JR"	JAYMIE KELLY
1	CHRISTOPHER ROBIN ZIMMERMAN	undervote	OLE SAVIOR
1	CHRISTOPHER ROBIN ZIMMERMAN	UWI	CHRISTOPHER CLARK
1	CHRISTOPHER ROBIN ZIMMERMAN	TONY LANE	RAHN V. WORKCUFF
1	CHRISTOPHER ROBIN ZIMMERMAN	RAHN V. WORKCUFF	BILL KAHN
1	CHRISTOPHER ROBIN ZIMMERMAN	OLE SAVIOR	UWI
1	CHRISTOPHER ROBIN ZIMMERMAN	OLE SAVIOR	MARK V ANDERSON
1	CHRISTOPHER ROBIN ZIMMERMAN	OLE SAVIOR	MARK ANDREW
1	CHRISTOPHER ROBIN ZIMMERMAN	OLE SAVIOR	DAN COHEN
1	CHRISTOPHER ROBIN ZIMMERMAN	OLE SAVIOR	CAPTAIN JACK SPARROW
1	CHRISTOPHER ROBIN ZIMMERMAN	OLE SAVIOR	CAM WINTON
1	CHRISTOPHER ROBIN ZIMMERMAN	OLE SAVIOR	BOB FINE
1	CHRISTOPHER ROBIN ZIMMERMAN	NEAL BAXTER	undervote
1	CHRISTOPHER ROBIN ZIMMERMAN	NEAL BAXTER	JOHN LESLIE HARTWIG
1	CHRISTOPHER ROBIN ZIMMERMAN	NEAL BAXTER	CHRISTOPHER CLARK
1	CHRISTOPHER ROBIN ZIMMERMAN	NEAL BAXTER	BETSY HODGES
1	CHRISTOPHER ROBIN ZIMMERMAN	MERRILL ANDERSON	JOHN CHARLES WILSON
1	CHRISTOPHER ROBIN ZIMMERMAN	MARK V ANDERSON	undervote
1	CHRISTOPHER ROBIN ZIMMERMAN	MARK V ANDERSON	OLE SAVIOR
1	CHRISTOPHER ROBIN ZIMMERMAN	MARK V ANDERSON	NEAL BAXTER
1	CHRISTOPHER ROBIN ZIMMERMAN	MARK V ANDERSON	MERRILL ANDERSON
1	CHRISTOPHER ROBIN ZIMMERMAN	MARK V ANDERSON	BOB FINE
1	CHRISTOPHER ROBIN ZIMMERMAN	MARK V ANDERSON	BILL KAHN
1	CHRISTOPHER ROBIN ZIMMERMAN	MARK ANDREW	MIKE GOULD
1	CHRISTOPHER ROBIN ZIMMERMAN	MARK ANDREW	JOHN LESLIE HARTWIG
1	CHRISTOPHER ROBIN ZIMMERMAN	KURTIS W. HANNA	undervote
1	CHRISTOPHER ROBIN ZIMMERMAN	KURTIS W. HANNA	MERRILL ANDERSON
1	CHRISTOPHER ROBIN ZIMMERMAN	KURTIS W. HANNA	JOHN CHARLES WILSON
1	CHRISTOPHER ROBIN ZIMMERMAN	KURTIS W. HANNA	CHRISTOPHER CLARK
1	CHRISTOPHER ROBIN ZIMMERMAN	JOSHUA REA	MARK ANDREW
1	CHRISTOPHER ROBIN ZIMMERMAN	JOSHUA REA	EDMUND BERNARD BRUYERE
1	CHRISTOPHER ROBIN ZIMMERMAN	JOHN LESLIE HARTWIG	RAHN V. WORKCUFF
1	CHRISTOPHER ROBIN ZIMMERMAN	JOHN LESLIE HARTWIG	CHRISTOPHER CLARK
1	CHRISTOPHER ROBIN ZIMMERMAN	JOHN CHARLES WILSON	DOUG MANN
1	CHRISTOPHER ROBIN ZIMMERMAN	JEFFREY ALAN WAGNER	NEAL BAXTER
1	CHRISTOPHER ROBIN ZIMMERMAN	JEFFREY ALAN WAGNER	MIKE GOULD
1	CHRISTOPHER ROBIN ZIMMERMAN	JEFFREY ALAN WAGNER	JOHN CHARLES WILSON
1	CHRISTOPHER ROBIN ZIMMERMAN	JAMES EVERETT	JOHN LESLIE HARTWIG
1	CHRISTOPHER ROBIN ZIMMERMAN	JAMES EVERETT	CHRISTOPHER CLARK
1	CHRISTOPHER ROBIN ZIMMERMAN	JACKIE CHERRYHOMES	MARK V ANDERSON
1	CHRISTOPHER ROBIN ZIMMERMAN	JACKIE CHERRYHOMES	JOSHUA REA
1	CHRISTOPHER ROBIN ZIMMERMAN	JACKIE CHERRYHOMES	CHRISTOPHER CLARK
1	CHRISTOPHER ROBIN ZIMMERMAN	JACKIE CHERRYHOMES	CAPTAIN JACK SPARROW
1	CHRISTOPHER ROBIN ZIMMERMAN	EDMUND BERNARD BRUYERE	OLE SAVIOR
1	CHRISTOPHER ROBIN ZIMMERMAN	DOUG MANN	JAMES EVERETT
1	CHRISTOPHER ROBIN ZIMMERMAN	DOUG MANN	JACKIE CHERRYHOMES
1	CHRISTOPHER ROBIN ZIMMERMAN	DOUG MANN	CAM WINTON
1	CHRISTOPHER ROBIN ZIMMERMAN	DOUG MANN	BETSY HODGES
1	CHRISTOPHER ROBIN ZIMMERMAN	DON SAMUELS	TROY BENJEGERDES
1	CHRISTOPHER ROBIN ZIMMERMAN	DON SAMUELS	MIKE GOULD
1	CHRISTOPHER ROBIN ZIMMERMAN	DON SAMUELS	MARK V ANDERSON
1	CHRISTOPHER ROBIN ZIMMERMAN	DON SAMUELS	CHRISTOPHER CLARK
1	CHRISTOPHER ROBIN ZIMMERMAN	DAN COHEN	CAM WINTON
1	CHRISTOPHER ROBIN ZIMMERMAN	CYD GORMAN	CHRISTOPHER ROBIN ZIMMERMAN
1	CHRISTOPHER ROBIN ZIMMERMAN	CYD GORMAN	CHRISTOPHER CLARK
1	CHRISTOPHER ROBIN ZIMMERMAN	CHRISTOPHER ROBIN ZIMMERMAN	JACKIE CHERRYHOMES
1	CHRISTOPHER ROBIN ZIMMERMAN	CHRISTOPHER CLARK	STEPHANIE WOODRUFF
1	CHRISTOPHER ROBIN ZIMMERMAN	CHRISTOPHER CLARK	JOHN LESLIE HARTWIG
1	CHRISTOPHER ROBIN ZIMMERMAN	CHRISTOPHER CLARK	JOHN CHARLES WILSON
1	CHRISTOPHER ROBIN ZIMMERMAN	CHRISTOPHER CLARK	DOUG MANN
1	CHRISTOPHER ROBIN ZIMMERMAN	CHRISTOPHER CLARK	DON SAMUELS
1	CHRISTOPHER ROBIN ZIMMERMAN	CHRISTOPHER CLARK	CYD GORMAN
1	CHRISTOPHER ROBIN ZIMMERMAN	CHRISTOPHER CLARK	CHRISTOPHER ROBIN ZIMMERMAN
1	CHRISTOPHER ROBIN ZIMMERMAN	CHRISTOPHER CLARK	BOB FINE
1	CHRISTOPHER ROBIN ZIMMERMAN	CHRISTOPHER CLARK	BETSY HODGES
1	CHRISTOPHER ROBIN ZIMMERMAN	CAPTAIN JACK SPARROW	TONY LANE
1	CHRISTOPHER ROBIN ZIMMERMAN	CAM WINTON	undervote
1	CHRISTOPHER ROBIN ZIMMERMAN	CAM WINTON	STEPHANIE WOODRUFF
1	CHRISTOPHER ROBIN ZIMMERMAN	CAM WINTON	KURTIS W. HANNA
1	CHRISTOPHER ROBIN ZIMMERMAN	CAM WINTON	BOB FINE
1	CHRISTOPHER ROBIN ZIMMERMAN	CAM WINTON	BETSY HODGES
1	CHRISTOPHER ROBIN ZIMMERMAN	CAM WINTON	"ABDUL M RAHAMAN ""THE ROCK"""
1	CHRISTOPHER ROBIN ZIMMERMAN	BILL KAHN	undervote
1	CHRISTOPHER ROBIN ZIMMERMAN	BETSY HODGES	undervote
1	CHRISTOPHER ROBIN ZIMMERMAN	BETSY HODGES	JAMES EVERETT
1	CHRISTOPHER ROBIN ZIMMERMAN	BETSY HODGES	DON SAMUELS
1	CHRISTOPHER ROBIN ZIMMERMAN	BETSY HODGES	CAPTAIN JACK SPARROW
1	CHRISTOPHER ROBIN ZIMMERMAN	ALICIA K. BENNETT	MARK ANDREW
1	CHRISTOPHER ROBIN ZIMMERMAN	ALICIA K. BENNETT	"ABDUL M RAHAMAN ""THE ROCK"""
1	CHRISTOPHER ROBIN ZIMMERMAN	"ABDUL M RAHAMAN ""THE ROCK"""	undervote
1	CHRISTOPHER ROBIN ZIMMERMAN	"ABDUL M RAHAMAN ""THE ROCK"""	EDMUND BERNARD BRUYERE
1	CHRISTOPHER CLARK	overvote	JEFFREY ALAN WAGNER
1	CHRISTOPHER CLARK	UWI	UWI
1	CHRISTOPHER CLARK	UWI	KURTIS W. HANNA
1	CHRISTOPHER CLARK	TROY BENJEGERDES	JOHN LESLIE HARTWIG
1	CHRISTOPHER CLARK	TROY BENJEGERDES	EDMUND BERNARD BRUYERE
1	CHRISTOPHER CLARK	TROY BENJEGERDES	DAN COHEN
1	CHRISTOPHER CLARK	OLE SAVIOR	RAHN V. WORKCUFF
1	CHRISTOPHER CLARK	OLE SAVIOR	NEAL BAXTER
1	CHRISTOPHER CLARK	OLE SAVIOR	CAM WINTON
1	CHRISTOPHER CLARK	NEAL BAXTER	OLE SAVIOR
1	CHRISTOPHER CLARK	NEAL BAXTER	DOUG MANN
1	CHRISTOPHER CLARK	MARK V ANDERSON	OLE SAVIOR
1	CHRISTOPHER CLARK	MARK V ANDERSON	MARK ANDREW
1	CHRISTOPHER CLARK	MARK V ANDERSON	CHRISTOPHER ROBIN ZIMMERMAN
1	CHRISTOPHER CLARK	MARK V ANDERSON	"ABDUL M RAHAMAN ""THE ROCK"""
1	CHRISTOPHER CLARK	MARK ANDREW	undervote
1	CHRISTOPHER CLARK	MARK ANDREW	JACKIE CHERRYHOMES
1	CHRISTOPHER CLARK	MARK ANDREW	DOUG MANN
1	CHRISTOPHER CLARK	MARK ANDREW	CHRISTOPHER CLARK
1	CHRISTOPHER CLARK	MARK ANDREW	CAM WINTON
1	CHRISTOPHER CLARK	MARK ANDREW	BOB FINE
1	CHRISTOPHER CLARK	MARK ANDREW	BETSY HODGES
1	CHRISTOPHER CLARK	KURTIS W. HANNA	undervote
1	CHRISTOPHER CLARK	KURTIS W. HANNA	NEAL BAXTER
1	CHRISTOPHER CLARK	KURTIS W. HANNA	CAPTAIN JACK SPARROW
1	CHRISTOPHER CLARK	JOSHUA REA	DOUG MANN
1	CHRISTOPHER CLARK	JOHN LESLIE HARTWIG	OLE SAVIOR
1	CHRISTOPHER CLARK	JOHN LESLIE HARTWIG	NEAL BAXTER
1	CHRISTOPHER CLARK	JOHN CHARLES WILSON	JOSHUA REA
1	CHRISTOPHER CLARK	JAYMIE KELLY	KURTIS W. HANNA
1	CHRISTOPHER CLARK	JAYMIE KELLY	JAYMIE KELLY
1	CHRISTOPHER CLARK	JAYMIE KELLY	CAPTAIN JACK SPARROW
1	CHRISTOPHER CLARK	JAMES EVERETT	DOUG MANN
1	CHRISTOPHER CLARK	JAMES EVERETT	BETSY HODGES
1	CHRISTOPHER CLARK	JACKIE CHERRYHOMES	JAMES EVERETT
1	CHRISTOPHER CLARK	GREGG A. IVERSON	JOHN LESLIE HARTWIG
1	CHRISTOPHER CLARK	DOUG MANN	NEAL BAXTER
1	CHRISTOPHER CLARK	DOUG MANN	KURTIS W. HANNA
1	CHRISTOPHER CLARK	DOUG MANN	CAM WINTON
1	CHRISTOPHER CLARK	DON SAMUELS	undervote
1	CHRISTOPHER CLARK	DON SAMUELS	DAN COHEN
1	CHRISTOPHER CLARK	DON SAMUELS	CHRISTOPHER ROBIN ZIMMERMAN
1	CHRISTOPHER CLARK	DAN COHEN	undervote
1	CHRISTOPHER CLARK	DAN COHEN	TROY BENJEGERDES
1	CHRISTOPHER CLARK	DAN COHEN	KURTIS W. HANNA
1	CHRISTOPHER CLARK	DAN COHEN	CHRISTOPHER ROBIN ZIMMERMAN
1	CHRISTOPHER CLARK	DAN COHEN	CAPTAIN JACK SPARROW
1	CHRISTOPHER CLARK	CYD GORMAN	CHRISTOPHER ROBIN ZIMMERMAN
1	CHRISTOPHER CLARK	CHRISTOPHER ROBIN ZIMMERMAN	UWI
1	CHRISTOPHER CLARK	CHRISTOPHER ROBIN ZIMMERMAN	RAHN V. WORKCUFF
1	CHRISTOPHER CLARK	CHRISTOPHER ROBIN ZIMMERMAN	NEAL BAXTER
1	CHRISTOPHER CLARK	CHRISTOPHER ROBIN ZIMMERMAN	JEFFREY ALAN WAGNER
1	CHRISTOPHER CLARK	CHRISTOPHER ROBIN ZIMMERMAN	JAMES EVERETT
1	CHRISTOPHER CLARK	CHRISTOPHER ROBIN ZIMMERMAN	JACKIE CHERRYHOMES
1	CHRISTOPHER CLARK	CHRISTOPHER ROBIN ZIMMERMAN	CHRISTOPHER ROBIN ZIMMERMAN
1	CHRISTOPHER CLARK	CHRISTOPHER ROBIN ZIMMERMAN	ALICIA K. BENNETT
1	CHRISTOPHER CLARK	CHRISTOPHER ROBIN ZIMMERMAN	"ABDUL M RAHAMAN ""THE ROCK"""
1	CHRISTOPHER CLARK	CAPTAIN JACK SPARROW	MARK ANDREW
1	CHRISTOPHER CLARK	CAPTAIN JACK SPARROW	JAMES EVERETT
1	CHRISTOPHER CLARK	CAM WINTON	undervote
1	CHRISTOPHER CLARK	CAM WINTON	STEPHANIE WOODRUFF
1	CHRISTOPHER CLARK	CAM WINTON	MARK V ANDERSON
1	CHRISTOPHER CLARK	CAM WINTON	CAPTAIN JACK SPARROW
1	CHRISTOPHER CLARK	BOB FINE	MIKE GOULD
1	CHRISTOPHER CLARK	BOB FINE	CHRISTOPHER CLARK
1	CHRISTOPHER CLARK	BILL KAHN	KURTIS W. HANNA
1	CHRISTOPHER CLARK	BETSY HODGES	OLE SAVIOR
1	CHRISTOPHER CLARK	BETSY HODGES	JOHN LESLIE HARTWIG
1	CHRISTOPHER CLARK	BETSY HODGES	CAM WINTON
1	CHRISTOPHER CLARK	ALICIA K. BENNETT	JAYMIE KELLY
1	CHRISTOPHER CLARK	ALICIA K. BENNETT	"BOB ""AGAIN"" CARNEY JR"
1	CAPTAIN JACK SPARROW	overvote	JAYMIE KELLY
1	CAPTAIN JACK SPARROW	UWI	UWI
1	CAPTAIN JACK SPARROW	TROY BENJEGERDES	OLE SAVIOR
1	CAPTAIN JACK SPARROW	TROY BENJEGERDES	MARK ANDREW
1	CAPTAIN JACK SPARROW	TROY BENJEGERDES	KURTIS W. HANNA
1	CAPTAIN JACK SPARROW	TROY BENJEGERDES	DAN COHEN
1	CAPTAIN JACK SPARROW	TROY BENJEGERDES	BETSY HODGES
1	CAPTAIN JACK SPARROW	TONY LANE	MARK ANDREW
1	CAPTAIN JACK SPARROW	TONY LANE	JOHN CHARLES WILSON
1	CAPTAIN JACK SPARROW	TONY LANE	CHRISTOPHER ROBIN ZIMMERMAN
1	CAPTAIN JACK SPARROW	STEPHANIE WOODRUFF	RAHN V. WORKCUFF
1	CAPTAIN JACK SPARROW	OLE SAVIOR	MARK ANDREW
1	CAPTAIN JACK SPARROW	OLE SAVIOR	KURTIS W. HANNA
1	CAPTAIN JACK SPARROW	OLE SAVIOR	CYD GORMAN
1	CAPTAIN JACK SPARROW	NEAL BAXTER	JAMES EVERETT
1	CAPTAIN JACK SPARROW	NEAL BAXTER	JACKIE CHERRYHOMES
1	CAPTAIN JACK SPARROW	NEAL BAXTER	BETSY HODGES
1	CAPTAIN JACK SPARROW	MIKE GOULD	undervote
1	CAPTAIN JACK SPARROW	MIKE GOULD	UWI
1	CAPTAIN JACK SPARROW	MIKE GOULD	MARK ANDREW
1	CAPTAIN JACK SPARROW	MIKE GOULD	"ABDUL M RAHAMAN ""THE ROCK"""
1	CAPTAIN JACK SPARROW	MARK V ANDERSON	KURTIS W. HANNA
1	CAPTAIN JACK SPARROW	MARK V ANDERSON	CHRISTOPHER ROBIN ZIMMERMAN
1	CAPTAIN JACK SPARROW	MARK ANDREW	STEPHANIE WOODRUFF
1	CAPTAIN JACK SPARROW	MARK ANDREW	OLE SAVIOR
1	CAPTAIN JACK SPARROW	MARK ANDREW	KURTIS W. HANNA
1	CAPTAIN JACK SPARROW	MARK ANDREW	JEFFREY ALAN WAGNER
1	CAPTAIN JACK SPARROW	MARK ANDREW	DAN COHEN
1	CAPTAIN JACK SPARROW	KURTIS W. HANNA	undervote
1	CAPTAIN JACK SPARROW	KURTIS W. HANNA	TROY BENJEGERDES
1	CAPTAIN JACK SPARROW	KURTIS W. HANNA	TONY LANE
1	CAPTAIN JACK SPARROW	KURTIS W. HANNA	OLE SAVIOR
1	CAPTAIN JACK SPARROW	KURTIS W. HANNA	JOSHUA REA
1	CAPTAIN JACK SPARROW	KURTIS W. HANNA	JAYMIE KELLY
1	CAPTAIN JACK SPARROW	KURTIS W. HANNA	DOUG MANN
1	CAPTAIN JACK SPARROW	KURTIS W. HANNA	DON SAMUELS
1	CAPTAIN JACK SPARROW	KURTIS W. HANNA	CHRISTOPHER ROBIN ZIMMERMAN
1	CAPTAIN JACK SPARROW	KURTIS W. HANNA	CAM WINTON
1	CAPTAIN JACK SPARROW	KURTIS W. HANNA	BOB FINE
1	CAPTAIN JACK SPARROW	KURTIS W. HANNA	"BOB ""AGAIN"" CARNEY JR"
1	CAPTAIN JACK SPARROW	JOSHUA REA	JAYMIE KELLY
1	CAPTAIN JACK SPARROW	JOHN CHARLES WILSON	MIKE GOULD
1	CAPTAIN JACK SPARROW	JOHN CHARLES WILSON	JAYMIE KELLY
1	CAPTAIN JACK SPARROW	JOHN CHARLES WILSON	JAMES EVERETT
1	CAPTAIN JACK SPARROW	JOHN CHARLES WILSON	BETSY HODGES
1	CAPTAIN JACK SPARROW	JEFFREY ALAN WAGNER	undervote
1	CAPTAIN JACK SPARROW	JEFFREY ALAN WAGNER	KURTIS W. HANNA
1	CAPTAIN JACK SPARROW	JEFFREY ALAN WAGNER	JACKIE CHERRYHOMES
1	CAPTAIN JACK SPARROW	JEFFREY ALAN WAGNER	BETSY HODGES
1	CAPTAIN JACK SPARROW	JAYMIE KELLY	EDMUND BERNARD BRUYERE
1	CAPTAIN JACK SPARROW	JAYMIE KELLY	DAN COHEN
1	CAPTAIN JACK SPARROW	JAYMIE KELLY	BETSY HODGES
1	CAPTAIN JACK SPARROW	JAMES EVERETT	TONY LANE
1	CAPTAIN JACK SPARROW	JAMES EVERETT	MARK ANDREW
1	CAPTAIN JACK SPARROW	JAMES EVERETT	KURTIS W. HANNA
1	CAPTAIN JACK SPARROW	JAMES EVERETT	DOUG MANN
1	CAPTAIN JACK SPARROW	JAMES EVERETT	BETSY HODGES
1	CAPTAIN JACK SPARROW	JACKIE CHERRYHOMES	undervote
1	CAPTAIN JACK SPARROW	JACKIE CHERRYHOMES	MARK ANDREW
1	CAPTAIN JACK SPARROW	JACKIE CHERRYHOMES	JAYMIE KELLY
1	CAPTAIN JACK SPARROW	EDMUND BERNARD BRUYERE	STEPHANIE WOODRUFF
1	CAPTAIN JACK SPARROW	DOUG MANN	undervote
